"country_name","country_code","año","region","subregion","homicides_per_100000_ppl","gini","population_density","unemployment_percent_labor_force","net_national_income","gdp_growth_percent","drugs_use_disorders_deaths","alcohol_use_disorders_deaths","deaths_with_tobacco_as_risk_fact","deaths_with_drugs_as_risk_factor","deaths_with_alcohol_as_risk_fact","labor_force","police_officers_per_100000","public_order_and_safety_exp","general_gov_exp"
"Afghanistan","AFG","1960","","","","","","","","","","","","","","","","",""
"Afghanistan","AFG","1961","","","","","13","","","","","","","","","","","",""
"Afghanistan","AFG","1962","","","","","14","","","","","","","","","","","",""
"Afghanistan","AFG","1963","","","","","14","","","","","","","","","","","",""
"Afghanistan","AFG","1964","","","","","14","","","","","","","","","","","",""
"Afghanistan","AFG","1965","","","","","15","","","","","","","","","","","",""
"Afghanistan","AFG","1966","","","","","15","","","","","","","","","","","",""
"Afghanistan","AFG","1967","","","","","15","","","","","","","","","","","",""
"Afghanistan","AFG","1968","","","","","16","","","","","","","","","","","",""
"Afghanistan","AFG","1969","","","","","16","","","","","","","","","","","",""
"Afghanistan","AFG","1970","","","","","16","","","","","","","","","","","",""
"Afghanistan","AFG","1971","","","","","17","","","","","","","","","","","",""
"Afghanistan","AFG","1972","","","","","17","","","","","","","","","","","",""
"Afghanistan","AFG","1973","","","","","18","","","","","","","","","","","",""
"Afghanistan","AFG","1974","","","","","18","","","","","","","","","","","",""
"Afghanistan","AFG","1975","","","","","19","","","","","","","","","","","",""
"Afghanistan","AFG","1976","","","","","19","","","","","","","","","","","",""
"Afghanistan","AFG","1977","","","","","19","","","","","","","","","","","",""
"Afghanistan","AFG","1978","","","","","20","","","","","","","","","","","",""
"Afghanistan","AFG","1979","","","","","20","","","","","","","","","","","",""
"Afghanistan","AFG","1980","","","","","19","","","","","","","","","","","",""
"Afghanistan","AFG","1981","","","","","17","","","","","","","","","","","",""
"Afghanistan","AFG","1982","","","","","15","","","","","","","","","","","",""
"Afghanistan","AFG","1983","","","","","15","","","","","","","","","","","",""
"Afghanistan","AFG","1984","","","","","16","","","","","","","","","","","",""
"Afghanistan","AFG","1985","","","","","16","","","","","","","","","","","",""
"Afghanistan","AFG","1986","","","","","16","","","","","","","","","","","",""
"Afghanistan","AFG","1987","","","","","16","","","","","","","","","","","",""
"Afghanistan","AFG","1988","","","","","16","","","","","","","","","","","",""
"Afghanistan","AFG","1989","","","","","16","","","","","","","","","","","",""
"Afghanistan","AFG","1990","","","","","16","","","","93","72","9723","174","356","2641964","","",""
"Afghanistan","AFG","1991","","","","","16","8","","","102","75","9918","188","364","2645619","","",""
"Afghanistan","AFG","1992","","","","","18","8","","","118","80","10386","211","376","2957392","","",""
"Afghanistan","AFG","1993","","","","","21","8","","","132","85","10992","232","389","3420015","","",""
"Afghanistan","AFG","1994","","","","","24","8","","","142","88","11466","247","399","3754691","","",""
"Afghanistan","AFG","1995","","","","","25","8","","","151","91","11689","260","406","3965312","","",""
"Afghanistan","AFG","1996","","","","","26","8","","","159","93","11947","274","413","4105092","","",""
"Afghanistan","AFG","1997","","","","","27","8","","","168","96","12199","287","420","4242705","","",""
"Afghanistan","AFG","1998","","","","","28","8","","","173","97","12282","295","425","4385878","","",""
"Afghanistan","AFG","1999","","","","","30","8","","","178","98","12308","302","426","4546322","","",""
"Afghanistan","AFG","2000","","","","","30","8","","","186","99","12298","312","427","4594699","","",""
"Afghanistan","AFG","2001","","","","","30","8","","","197","101","12405","328","432","4618603","","",""
"Afghanistan","AFG","2002","","","","","32","8","","","202","101","12277","337","432","4924226","","",""
"Afghanistan","AFG","2003","","","","","35","8","","9","216","104","12551","356","437","5315286","","",""
"Afghanistan","AFG","2004","","","","","36","8","","1","229","107","12654","376","445","5541238","","",""
"Afghanistan","AFG","2005","","","","","37","8","","11","239","109","12582","390","452","5787757","","",""
"Afghanistan","AFG","2006","","","","","39","8","","5","245","110","12542","401","456","6071864","","10",""
"Afghanistan","AFG","2007","","","","","40","8","","14","252","111","12519","414","465","6119540","","9",""
"Afghanistan","AFG","2008","","","","","41","8","","4","261","114","12542","430","478","6214595","","24",""
"Afghanistan","AFG","2009","","","4","","42","8","","21","270","115","12571","445","485","6509255","","23",""
"Afghanistan","AFG","2010","","","3","","43","8","","14","281","118","12681","463","492","6743046","","26",""
"Afghanistan","AFG","2011","","","4","","45","8","","0","292","120","12871","482","496","7098230","","26",""
"Afghanistan","AFG","2012","","","6","","47","8","","13","305","124","13127","502","502","7520865","","21",""
"Afghanistan","AFG","2013","","","","","48","8","","6","316","126","13442","522","508","7881567","","22",""
"Afghanistan","AFG","2014","","","","","50","8","","3","326","128","13746","542","514","8285362","","21",""
"Afghanistan","AFG","2015","","","10","","52","9","17785739176","1","339","131","14108","566","522","8630723","","23",""
"Afghanistan","AFG","2016","","","7","","53","10","","2","354","135","14540","602","540","8913938","","19",""
"Afghanistan","AFG","2017","","","7","","55","11","","3","372","139","15018","644","564","9254594","","20",""
"Afghanistan","AFG","2018","","","7","","56","11","","1","390","143","15417","673","575","9613728","","",""
"Afghanistan","AFG","2019","","","","","58","11","","4","406","147","15799","700","583","9991682","","",""
"Afghanistan","AFG","2020","","","","","60","12","","-2","","","","","","9105733","","",""
"Afghanistan","AFG","2021","","","","","","","","-21","","","","","","","","",""
"Africa Eastern and Southern","AFE","1960","","","","","","","","","","","","","","","","",""
"Africa Eastern and Southern","AFE","1961","","","","","9","","","0","","","","","","","","",""
"Africa Eastern and Southern","AFE","1962","","","","","9","","","8","","","","","","","","",""
"Africa Eastern and Southern","AFE","1963","","","","","10","","","5","","","","","","","","",""
"Africa Eastern and Southern","AFE","1964","","","","","10","","","5","","","","","","","","",""
"Africa Eastern and Southern","AFE","1965","","","","","10","","","5","","","","","","","","",""
"Africa Eastern and Southern","AFE","1966","","","","","11","","","4","","","","","","","","",""
"Africa Eastern and Southern","AFE","1967","","","","","11","","","5","","","","","","","","",""
"Africa Eastern and Southern","AFE","1968","","","","","11","","","4","","","","","","","","",""
"Africa Eastern and Southern","AFE","1969","","","","","12","","","5","","","","","","","","",""
"Africa Eastern and Southern","AFE","1970","","","","","12","","","5","","","","","","","","",""
"Africa Eastern and Southern","AFE","1971","","","","","12","","","5","","","","","","","","",""
"Africa Eastern and Southern","AFE","1972","","","","","13","","","2","","","","","","","","",""
"Africa Eastern and Southern","AFE","1973","","","","","13","","","4","","","","","","","","",""
"Africa Eastern and Southern","AFE","1974","","","","","13","","","6","","","","","","","","",""
"Africa Eastern and Southern","AFE","1975","","","","","14","","","2","","","","","","","","",""
"Africa Eastern and Southern","AFE","1976","","","","","14","","","3","","","","","","","","",""
"Africa Eastern and Southern","AFE","1977","","","","","14","","","1","","","","","","","","",""
"Africa Eastern and Southern","AFE","1978","","","","","15","","","1","","","","","","","","",""
"Africa Eastern and Southern","AFE","1979","","","","","15","","","3","","","","","","","","",""
"Africa Eastern and Southern","AFE","1980","","","","","16","","","5","","","","","","","","",""
"Africa Eastern and Southern","AFE","1981","","","","","16","","","4","","","","","","","","",""
"Africa Eastern and Southern","AFE","1982","","","","","17","","","1","","","","","","","","",""
"Africa Eastern and Southern","AFE","1983","","","","","17","","","0","","","","","","","","",""
"Africa Eastern and Southern","AFE","1984","","","","","18","","","3","","","","","","","","",""
"Africa Eastern and Southern","AFE","1985","","","","","18","","","-0","","","","","","","","",""
"Africa Eastern and Southern","AFE","1986","","","","","19","","","2","","","","","","","","",""
"Africa Eastern and Southern","AFE","1987","","","","","20","","","4","","","","","","","","",""
"Africa Eastern and Southern","AFE","1988","","","","","20","","","4","","","","","","","","",""
"Africa Eastern and Southern","AFE","1989","","","","","21","","","3","","","","","","","","",""
"Africa Eastern and Southern","AFE","1990","","","","","21","","","-0","","","","","","121955049","","",""
"Africa Eastern and Southern","AFE","1991","","","","","22","7","","0","","","","","","125453912","","",""
"Africa Eastern and Southern","AFE","1992","","","","","22","7","","-2","","","","","","128833304","","",""
